tweet_id,author_id,created_at,text
270,115770,Wed Nov 22 09:24:30 +0000 2017,"@AmazonHelp ありがとうございます。
今、電話で主人が対応していただいてます。"
271,115770,Wed Nov 22 09:30:36 +0000 2017,"@AmazonHelp 電話で対応してもらいましたが改良されませんでした。
保証期間も過ぎてるので買い直しになるんでしょうね。"
274,115770,Wed Nov 22 09:44:04 +0000 2017,@AmazonHelp こちらこそありがとうございました。
272,115770,Wed Nov 22 09:14:39 +0000 2017,amazonのfireTVstickが見れない😢
325,115792,Wed Nov 22 08:55:35 +0000 2017,amazonプライムビデオ、再生エラーが多いです
605,115814,Tue Oct 31 21:57:56 +0000 2017,whats wrong w/ amazon leavin shit outside like ups...🤔
616,115820,Tue Oct 31 23:22:08 +0000 2017,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day"
619,115820,Tue Oct 31 23:32:26 +0000 2017,"@AmazonHelp I frankly don't have the patience for another chat with your ""customer service"" people today."
621,115822,Tue Oct 31 22:19:34 +0000 2017,@115823 I want my amazon payments account CLOSED.  dm me please.
623,115824,Tue Oct 31 22:32:07 +0000 2017,"@AmazonHelp Okay, danke für die Info"
627,115827,Wed Nov 01 12:50:18 +0000 2017,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August
634,115831,Tue Oct 31 21:39:58 +0000 2017,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡
638,115834,Tue Oct 31 22:19:56 +0000 2017,@AmazonHelp Hi ready for some help
640,115834,Tue Oct 31 01:03:01 +0000 2017,@AmazonHelp Is the Echo Show no longer supported?
641,115834,Tue Oct 31 01:02:39 +0000 2017,@AmazonHelp Nothing there helped me with the Echo Show
643,115834,Mon Oct 30 23:44:45 +0000 2017,"Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?"
645,115835,Wed Nov 01 08:04:52 +0000 2017,@AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?
646,115835,Tue Oct 31 21:40:30 +0000 2017,.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk
651,115838,Tue Oct 31 22:25:58 +0000 2017,"@AmazonHelp I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?"
654,115838,Tue Oct 31 22:53:50 +0000 2017,@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645
